Sign;место исполненения;H1 FingerSelection;H1 Aperture;H1 Curve;H1 Focus;H1 Spread;H2 FingerSelection;H2 Aperture;H2 Curve;H2 Spread;Type;H1 Unselected fingers;H2 Unselected fingers;H1 Facing;H1 Internal movement;Joint movement;H2 Facing;H1 articulator type;H2 articulator type;Symmetry
монах;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
груз;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
рассказывать;neutral;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
рождаться;body;all;;straight/bent;;pointed;;;;;Type 1;;;;;;;;;
необходимый;neutral;3-rd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
сеть;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
связь;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
нервы;body;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
хирургия;neutral;1-st/2-nd;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
ночь;body;all;;straight/fist;;wide;;;;;Type 1;;;;;;;;;
клуб;neutral;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
клещи;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
возражение;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
предлагать;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
только;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
источник?;neutral;2-nd;;bent;;;;;;;Type 1;straight;;;;;;;;
открытие;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
очки;body;1-st;;curved;;;;;;;Type 1;flexed;;;;;;;;
?;body;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
скорость;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
подушка;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
обложка;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
мягкий;neutral;all;open-closed;straight/bent;;pointed;;;;;Type 1;;;;;;;;;
родитель;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
партнер;neutral;thumb;;straight;;;;;;;Type 1;flexed;;;;;;;;
открытка;neutral;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
пасха;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
баран;body;all;;fist;;;;;;;Type 1;;;;;;;;;
паспорт;neutral;1-st/2-nd;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
вешать;neutral;1-st;;curved;;;;;;;Type 1;flexed;;;;with contact;;;;
маятник;neutral;all;open;curved;;pointed;;;;;Type 1;;;;;;;;;
бороться;neutral;1-st;;curved;;;;;;;Type 1;flexed;;;;;;;;
пианино;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
паломник;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
место;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
красть мысли;body;all;;straight/curved;;wide;;;;;Type 1;;;;;;;;;
простой;neutral;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
игра;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
очко;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
заразный;neutral;1-st;;curved;;;;;;;Type 1;flexed;;;;;;;;
распространяться;neutral;all;;fist/straight;;wide;;;;;Type 1;;;;;;;;;
вежливый;body;thumb/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
судьба;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
беременная;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
животное;body;all;;straight/curved;;wide;;;;;Type 1;;;;;;;;;
преследовать;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
уменьшение;neutral;1-st;open-closed;straight/bent;;;;;;;Type 1;flexed;;;;;;;;
основание?;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
защита;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
предварительный;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
контроль;neutral;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
ссориться;neutral;1-st;;curved;;;;;;;Type 1;flexed;;;;;;;;
тихий;neutral;all;open-closed;bent;;pointed;;;;;Type 1;;;;;;;;;
шум;body;2-nd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
решетка радиатора;neutral;all;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
дождь;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
редко;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
читать;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
отдых;body;all;;fist;;;;;;;Type 1;;;;;;;;;
ресторан;body;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
беспокоиться;body;all;open;curved;;pointed;;;;;Type 1;;;;;;;;;
восстанавливать;neutral;all;open-closed;straight/curved;;wide;;;;;Type 1;;;;;;;;;
жарить;neutral;all;;bent/alternating bending;;wide;;;;;Type 1;;;;;;;;;
восставать;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
покрасить;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
дорога;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
робот;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
звезда;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
рулон;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
кататься на роликах;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
кататься на коньках;neutral;1-st/2-nd;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
резина;neutral;1-st/2-nd;;curved;;wide;;;;;Type 1;flexed;;;;;;;;
мусор;neutral;3-rd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
слух;body;2-nd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
сплетня;neutral;1-st;;curved;;;;;;;Type 1;flexed;;;;;;;;
спешить;body;all;;curved;;wide;;;;;Type 1;;;;;;;;;
ткань;neutral;1-st;;curved;;;;;;;Type 1;flexed;;;;;;;;
мешок;neutral;all;open-closed;straight/fist;;wide;;;;;Type 1;;;;;;;;;
священный;neutral;4-th;;fist/straight;;wide;;;;;Type 1;;;;;;;;;
грустный;body;all;;curved;;wide;;;;;Type 1;;;;;;;;;
святой;neutral;1-st/2-nd/3-rd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
песок;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
пугать;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
школа;neutral;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
самокат;neutral;1-st;;curved;;;;;;;Type 1;flexed;;;;;;;;
ехать на самокате;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
текст;neutral;all;;fist/straight/alternating bending;;pointed;;;;;Type 1;;;;;;;;;
море;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
секретарь;neutral;all;;curved/alternating bending;;wide;;;;;Type 1;;;;;;;;;
проповедь;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
тень;neutral;all;;straight/fist;;wide;;;;;Type 1;;;;;;;;;
трясти;neutral;all;open;curved;;pointed;;;;;Type 1;;;;;;;;;
овца;body;1-st/2-nd;;curved;;wide;;;;;Type 1;flexed;;;;;;;;
магазин;neutral;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
короткий;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
фильм;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
золотой;neutral;1-st;closed-open;curved/straight;;;;;;;Type 1;flexed;;;;;;;;
грех;body;thumb;;straight;;;;;;;Type 1;flexed;;;;;;;;
надеть обувь;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
шлепанцы;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
снег;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
лыжи;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
мыло;neutral;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
пена;neutral;all;open;curved/alternating bending;;wide;;;;;Type 1;;;;;;;;;
ресторан;neutral;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
горе;body;all;;bent;;wide;;;;;Type 1;;;;;;;;;
большой1;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
космос;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
сверкать;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
рубить;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
щепки;neutral;1-st;closed-open;curved/straight;;;;;;;Type 1;flexed;;;;;;;;
спортивный;body;all;;fist;;;;;;;Type 1;;;;;;;;;
весна;neutral;all;open-closed;straight/bent;;pointed;;;;;Type 1;;;;;;;;;
елка;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
древесина;neutral;all;open;curved;;pointed;;;;;Type 1;;;;;;;;;
сжимать;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
свежий;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
хорошо;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
оставаться;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
постоянно 2;neutral;3-rd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
равномерно?;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
камень;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
стягивать, стяжка;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
снимать;body;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
студент, университет;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
домашнее задание;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
производство;neutral;1-st/2-nd;;curved;;pointed;;;;;Type 1;flexed;;;;;;;;
неожиданный;neutral;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
выбирать;neutral;1-st;open-closed;curved;;;;;;;Type 1;straight;;;;;;;;
подавлять;neutral;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
удивительный;neutral;thumb/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
качели;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
обратно;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
ценный, качественный;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
стол;neutral;1-st/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
стелить скатерть;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
забота;neutral;all;open;curved;;wide;;;;;Type 1;;;;;;;;;
разговор;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
учить;neutral;1-st/2-nd;closed;bent;;;;;;;Type 1;flexed;;;;;;;;
привлекать;neutral;all;;bent/alternating bending;;wide;;;;;Type 1;;;;;;;;;
соблазнять;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
билет;neutral;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
фольга?;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
сверкать;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
сегодня;neutral;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
одновременно;neutral;all;open-closed;straight/curved;;wide;;;;;Type 1;;;;;;;;;
вкалывать 1 слог;body;all;;straight/fist;;wide;;;;;Type 1;;;;;;;;;
вкалывать 2 слог;neutral;all;;fist/straight;;wide;;;;;Type 1;;;;;;;;;
мучить;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
переводить;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
транспорт;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
относиться;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
огромный;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
ясный;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
разгружать;neutral;all;;fist/straight;;wide;;;;;Type 1;;;;;;;;;
обычно;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
ценный;neutral;all;closed-open;curved/straight;;wide;;;;;Type 1;;;;;;;;;
разный;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
овощи;neutral;all;open;curved;;wide;;;;;Type 1;;;;;;;;;
стекло;neutral;2-nd;closed-open;curved;;;;;;;Type 1;straight;;;;;;;;
сцепление;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
жертва;neutral;3-rd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
обслуживать;neutral;thumb/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
зрители;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
все;neutral;all;open-closed;straight/curved;;wide;;;;;Type 1;;;;;;;;;
закончить;neutral;1-st/2-nd;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
волейбол;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
проснуться;body;1-st;closed-open;bent/straight;;;;;;;Type 1;flexed;;;;;;;;
мыть руки;neutral;all;;curved;;pointed;;;;;Type 1;;;;;;;;;
стеклоомыватели;neutral;all;;fist/straight;;wide;;;;;Type 1;;;;;;;;;
сайт;neutral;all;;fist/straight;;wide;;;;;Type 1;;;;;;;;;
свадьба;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
клятва;neutral;1-st/2-nd;open-closed;straight/bent;;wide;;;;;Type 1;flexed;;;;;;;;
кресло-каталка;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
какой;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
зима;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
рубанок;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
венок;neutral;1-st/2-nd/3-rd;;fist/straight;;wide;;;;;Type 1;flexed;;;;;;;;
дрожжи;neutral;all;open;curved;;wide;;;;;Type 1;;;;;;;;;
сжать;neutral;all;;straight/fist;;wide;;;;;Type 1;;;;;;;;;
можно1;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
можно2;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
после;neutral;all;;straight/bent;;pointed;;;;;Type 1;;;;;;;;;
протестант;body;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
запомнить;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
вышивать;neutral;1-st;open-closed;curved;;;;;;;Type 1;straight;;;;;;;;
телевизор;neutral;1-st/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
пожалуйста;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
взять;body;all;;curved/fist;;wide;;;;;Type 1;;;;;;;;;
жест;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
наводнение;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
потрясающе;body;all;;fist;;;;;;;Type 1;;;;;;;;;
вздор;body;all;;fist;;;;;;;Type 1;;;;;;;;;
;neutral;1-st/2-nd;open-closed;straight/bent;;wide;;;;;Type 1;flexed;;;;;;;;
салат;neutral;all;;curved;;wide;;;;;Type 1;;;;;;;;;
название;neutral;1-st/2-nd;;straight/curved;;wide;;;;;Type 1;flexed;;;;;;;;
куртка;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
забрать;neutral;all;open-closed;bent;;wide;;;;;Type 1;;;;;;;;;
надеть;body;all;;fist;;;;;;;Type 1;;;;;;;;;
тесный;neutral;all;;curved;;wide;;;;;Type 1;;;;;;;;;
открываться;neutral;all;;bent/straight;;pointed;;;;;Type 1;;;;;;;;;
страница;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
заполнить;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
оборудование;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
сопровождать;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
прыщи;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
атлетика;body;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
деятельность;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
настоящий, подлинный;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
зависимый?;neutral;2-nd;open-closed;straight/bent;;;;;;;Type 1;straight;;;;;;;;
наивный?;body;1-st/2-nd;;straight/bent;;pointed;;;;;Type 1;flexed;;;;;;;;
угол;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
вместе;neutral;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
реклама;neutral;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
советовать;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
влиять;body;all;closed;bent/fist;;;;;;;Type 1;;;;;;;;;
помощь;neutral;all;;straight;;pointed;;;;;Type 1;;;;;with contact;;;;
страус;neutral;all;;fist/straight;;wide;;;;;Type 1;flexed;;;;;;;;
воздух;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
фильтр;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
кондиционер;neutral;all;;bent;;pointed;;;;;Type 1;;;;;;;;;
переключать;neutral;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
сухой;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
менять;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
развод;neutral;thumb;;straight;;;;;;;Type 1;flexed;;;;;;;;
размещать;neutral;all;open-closed;straight/bent;;wide;;;;;Type 1;;;;;;;;;
уже;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
изменять;neutral;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
результат?;neutral;all;open-closed;straight/curved;;wide;;;;;Type 1;;;;;;;;;
объявлять;body;1-st;;straight/curved;;;;;;;Type 1;flexed;;;;;;;;
апатия, вялость;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
кубический, коробка;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
аплодировать;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
назначить;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
одобрить;neutral;thumb/1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
стрелять из лука;neutral;1-st;closed-open;curved_around;;;;;;;Type 1;flexed;;;;;;;;
архитектура;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
арестовывать;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
искусство;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
лес, деревья;neutral;all;;bent;;wide;;;;;Type 1;;;;;;;;;
цветы;body;all;closed-open;curved;;wide;;;;;Type 1;;;;;;;;;
сажать;neutral;all;closed;bent;;;;;;;Type 1;;;;;;;;;
артист;body;2-nd;;bent;;;;;;;Type 1;straight;;;;;;;;
управлять;neutral;thumb/1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
советоваться?;neutral;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
собрание;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
культура?;body;2-nd;closed-open;curved/straight;;;;;;;Type 1;straight;;;;;;;;
ассимиляция;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
буддизм;neutral;2-nd;closed;curved;;;;;;;Type 1;straight;;;;;;;;
атом;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
масса;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
нападать;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
привлекать;body;all;;bent/alternating bending;;wide;;;;;Type 1;;;;;;;;;
аудитория;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
скидка;neutral;1-st;open-closed;straight/bent;;;;;;;Type 1;flexed;;;;;;;;
автоматический;body;1-st;;straight;;;;;;;Type 1;flexed;;;;;;;;
изолированный, замкнутый;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
избегать;neutral;1-st/2-nd;;curved;;wide;;;;;Type 1;flexed;;;;;;;;
готовить;neutral;1-st/2-nd;;straight;;wide;;;;;Type 1;flexed;;;;;;;;
пар;neutral;all;;straight/alternating bending;;wide;;;;;Type 1;;;;;;;;;
балет;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
барбекю;neutral;all;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
мыться;body;all;;straight;;wide;;;;;Type 1;;;;;;;;;
полотенце;body;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
кровать;neutral;2-nd/3-rd;;bent;;pointed;;;;;Type 1;straight;;;;;;;;
поручни;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
корова;body;thumb/4-th;;straight;;;;;;;Type 1;flexed;;;;;;;;
принадлежать;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
ниже;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
рядом;neutral;thumb;;straight;;;;;;;Type 1;flexed;;;;;;;;
;neutral;1-st/2-nd;open-closed;straight/bent;;wide;;;;;Type 1;flexed;;;;;;;;
большой2;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
ягоды;neutral;1-st;open-closed;curved_around;;;;;;;Type 1;flexed;;;;;;;;
обменять;neutral;thumb;;straight;;;;;;;Type 1;flexed;;;;;;;;
книга;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
коса;neutral;1-st;;curved_around;;;;;;;Type 1;flexed;;;;;;;;
кирпич;neutral;1-st;open;curved;;;;;;;Type 1;flexed;;;;;;;;
приносить2;neutral;all;;straight;;pointed;;;;;Type 1;;;;;;;;;
страница?2;neutral;1-st;closed;curved;;;;;;;Type 1;straight;;;;;;;;
темный;body;all;;straight/curved;;wide;;;;;Type 1;;;;;;;;;
волосы;body;all;;straight;;wide/pointed;;;;;Type 1;;;;;;;;;
строить;neutral;1-st/2-nd;;straight;;pointed;;;;;Type 1;flexed;;;;;;;;
контракт;neutral;1-st/2-nd;closed;bent;;;;;;;Type 1;flexed;;;;;;;;
преступление;neutral;1-st/2-nd;;fist/straight;;wide;;;;;Type 1;flexed;;;;;;;;
грабить;neutral;all;;fist;;;;;;;Type 1;;;;;;;;;
куст;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
капуста;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
математика;neutral;all;;straight;;wide;;;;;Type 1;;;;;;;;;
считать;neutral;all;;straight/fist;;wide;;;;;Type 1;;;;;;;;;
