"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"1","10008--добыча угля, руды--MVI_1118.eaf","добыча полезных ископаемых","Type 3","all","curved","","wide","","root","back","all","straight","","pointed","","palm"
"2","10040--варежка--MVI_1170.eaf","","Type 2","all","straight","","pointed","","ulnar","tips","all","straight","","pointed","","back"
"3","10055--подражание, пародия--MVI_1198.eaf","пародировать","Type 2","1-st/4-th","straight","","","flexed","tips","ulnar","1-st/4-th","straight","","","flexed","back"
"5","10090--деньги--MVI_1261.eaf","деньги","Type 3","all","bent","closed","","","back","back","all","straight","","pointed","","palm"
"6","10126--ступа и пестик--MVI_1308.eaf","ступа и пестик","Type 3","all","fist","","","","root/ulnar","ulnar","all","curved","open","wide","","palm"
"8","10184--кружка--MVI_1376.eaf","кружка","Type 3","all","curved","open","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"9","10212--гриб--MVI_1415.eaf","гриб","Type 3","all","curved","","wide","","palm","palm","1-st","straight","","","flexed","tips"
"10","10220--мидия--MVI_1424.eaf","мидия","Type 2","all","bent","","pointed","","","palm/ulnar/palm","all","bent","","pointed","","palm"
"11","10221--должен--MVI_1425.eaf","должен","Type 3","1-st","straight","","","flexed","palm","palm","all","straight","","pointed","","palm"
"12","10243--имя--MVI_1453.eaf","имя","Type 3","1-st","straight","","","flexed","radial","palm","thumb","straight","","","flexed","palm"
"13","10343--новый--MVI_1578.eaf","новый","Type 3","all","bent","","pointed","","tips","back","all","straight","","pointed","","palm"
"14","10353--газета--MVI_1593.eaf","газета","Type 2","all","straight","","pointed","","tips","palm","all","straight","","pointed","","palm"
"15","10430--ничего--MVI_1704.eaf","ничего","Type 2","all","straight","","pointed","","","palm","all","straight","","pointed","","palm"
"16","10481--цель--MVI_1767.eaf","цель","Type 3","1-st","curved","closed","","straight","palm","palm","1-st","straight","","","flexed","radial"
